date,net_pts,net_usd,gross_pts,round_trips,open,close,ret_frac,half_day
2023-05-23,1.3440000000002912,67.20000000001455,1.930000000000291,1,4611.2,4578.44,0.00029146426092997295,False
2023-05-24,-21.027999999999526,-1051.3999999999762,-19.269999999999527,3,4558.62,4544.03,-0.004612799487564115,False
2023-05-25,0.0,0.0,0.0,0,4581.47,4580.65,0.0,False
2023-05-26,32.453999999999965,1622.6999999999982,33.039999999999964,1,4587.53,4639.56,0.00707439515381915,False
2023-05-29,0.0,0.0,0.0,0,4648.36,4651.94,0.0,True
2023-05-30,0.0,0.0,0.0,0,4661.03,4641.21,0.0,False
2023-05-31,-2.5159999999993814,-125.79999999996907,-1.9299999999993815,1,4618.91,4615.06,-0.000544717260132668,False
2023-06-01,17.557999999999563,877.8999999999781,18.729999999999563,2,4615.06,4656.35,0.00380450091656437,False
2023-06-02,11.243999999999927,562.1999999999963,11.829999999999927,1,4684.98,4722.96,0.0024000102455079696,False
2023-06-05,0.0,0.0,0.0,0,4725.99,4713.33,0.0,False
2023-06-06,0.0,0.0,0.0,0,4707.82,4723.52,0.0,False
2023-06-07,-10.77600000000051,-538.8000000000255,-10.19000000000051,1,4726.82,4706.72,-0.002279756792092889,False
2023-06-08,-3.3720000000007273,-168.60000000003637,-2.2000000000007276,2,4704.52,4732.32,-0.0007167575012967799,False
2023-06-09,1.0739999999998546,53.699999999992734,1.6599999999998545,1,4740.58,4740.31,0.00022655455661540458,False
2023-06-12,0.0,0.0,0.0,0,4750.77,4782.7,0.0,False
2023-06-13,-8.296000000000037,-414.80000000000183,-7.710000000000036,1,4798.12,4812.98,-0.0017290105291239146,False
2023-06-14,-4.936000000000364,-246.8000000000182,-4.350000000000364,1,4815.43,4816.52,-0.001025038262419008,False
2023-06-15,43.00400000000015,2150.2000000000075,43.590000000000146,1,4804.26,4874.55,0.008951222456736343,False
2023-06-16,0.0,0.0,0.0,0,4896.08,4856.03,0.0,False
2023-06-19,0.0,0.0,0.0,0,4847.85,4847.85,0.0,True
2023-06-20,-9.576000000000692,-478.8000000000346,-8.990000000000691,1,4833.41,4832.32,-0.001981209953221575,False
2023-06-21,-2.2259999999994178,-111.2999999999709,-1.639999999999418,1,4819.24,4805.62,-0.00046189855661876516,False
2023-06-22,0.0,0.0,0.0,0,4793.09,4821.15,0.0,False
2023-06-23,0.0,0.0,0.0,0,4780.01,4784.64,0.0,False
2023-06-26,-4.125999999999964,-206.2999999999982,-3.539999999999964,1,4776.74,4763.94,-0.0008637690140137341,False
2023-06-27,25.033999999999892,1251.6999999999946,25.61999999999989,1,4772.93,4814.89,0.005244996260158831,False
