ticker,ep_id,start_ts_et,end_ts_et,n_comp_bars,spot_start,spot_end,datr14_prior,ema9_h,ema21_h,po,po_slope1,po_slope3,phase_zone,ema21_d,ema21_d_slope1,ema21_d_slope3
META,META-031,2025-02-10T09:30:00-05:00,2025-02-14T11:30:00-05:00,30,713.5444,734.075,19.4445,714.5378,711.3991,16.757,-5.912,-20.191,neutral,664.9041,4.9356,15.1173
META,META-032,2025-02-28T10:30:00-05:00,2025-02-28T11:30:00-05:00,1,659.0,660.5,20.5683,664.2073,667.8149,-34.194,-0.932,-7.156,neutral_down,682.7905,-2.461,-6.4807
META,META-033,2025-02-28T12:30:00-05:00,2025-02-28T13:30:00-05:00,1,658.4456,657.4884,20.5683,662.4618,666.3586,-31.619,-0.888,1.642,neutral_down,682.7905,-2.461,-6.4807
META,META-034,2025-02-28T14:30:00-05:00,2025-03-04T09:30:00-05:00,9,662.91,628.038,20.5683,661.7557,665.312,-21.573,11.289,9.158,neutral,682.7905,-2.461,-6.4807
META,META-035,2025-03-12T09:30:00-04:00,2025-03-12T11:30:00-04:00,2,623.375,621.93,24.6619,608.0809,610.5927,12.397,24.804,35.163,neutral,654.5263,-4.9106,-15.0652
META,META-036,2025-03-13T09:30:00-04:00,2025-03-13T11:30:00-04:00,2,603.625,595.01,24.8939,614.3234,613.7092,-5.856,-24.923,-27.395,neutral,651.3276,-3.1988,-14.2411
META,META-037,2025-03-17T14:30:00-04:00,2025-03-18T10:30:00-04:00,3,605.99,576.93,25.0112,603.3286,603.7873,5.06,5.464,17.213,neutral,642.3249,-3.4975,-12.2015
META,META-038,2025-04-02T09:30:00-04:00,2025-04-02T10:30:00-04:00,1,584.24,586.89,23.0529,582.2189,583.6423,3.097,-0.399,11.824,neutral,609.9359,-2.3986,-9.8978
META,META-039,2025-04-02T11:30:00-04:00,2025-04-02T12:30:00-04:00,1,588.775,590.135,23.0529,584.2775,584.3773,13.919,5.518,10.423,neutral,609.9359,-2.3986,-9.8978
META,META-040,2025-04-08T10:30:00-04:00,2025-04-09T14:30:00-04:00,11,527.2933,581.62,28.1302,521.3647,526.4619,2.892,-1.059,32.141,neutral,585.0892,-6.8549,-22.4807
META,META-041,2025-04-14T15:30:00-04:00,2025-04-16T09:30:00-04:00,8,531.71,509.3634,33.3666,535.2893,537.4422,-15.958,-2.125,2.185,neutral,572.9779,-2.9688,-5.3569
