ticker,ld,pop,size,delisted,n_bars,e0_ret_252,e0_spy_252,e126_ret_252,e126_spy_252,dipped,days_to_dip,entry_ord,entry_px,ret_end,spy_end,last_ord,ret_1y,spy_1y
MCRP,2025-03-07,-0.024999976158142,15500000.0,False,294,-0.0897436242288535,0.1758230309765245,,,True,0.0,739317.0,3.549999952316284,-0.25633798862964996,0.2702805945270177,739743.0,0.0,0.17582303097652452
MWYN,2025-03-12,0.1499999999999999,8000000.0,False,290,-0.8364130434782608,0.2132856987414313,,,True,8.0,739330.0,3.9987,-0.8049115962687874,0.2937098799271429,739743.0,-0.8081626528621801,0.15895948646306746
RCT,2025-03-20,0.0,20000002.5,False,284,-0.8406888888888889,0.1581616369374798,,,True,1.0,739331.0,4.5,-0.8459555555555556,0.29717365864037726,739743.0,-0.8406888888888889,0.15816163693747987
ACVA,2025-03-24,-0.387599983215332,413750000.0,False,283,-0.7132593242217884,0.1441262541806021,,,True,0.0,739334.0,15.3100004196167,-0.5754408999446171,0.2743520066889631,739743.0,-0.7132593242217884,0.1441262541806021
LGPS,2025-03-25,-0.0726934441761251,10000000.0,False,282,-0.8510416731676378,0.1209988530914398,,,True,0.0,739335.0,3.5739939212799072,-0.8054053966610802,0.2712960066729224,739743.0,-0.8067567600020733,0.12099885309143987
EPSM,2025-03-26,0.1200000000000001,5000000.0,False,281,-0.6919642857142858,0.1151972423011309,,,True,230.0,739566.0,3.4,-0.6176470588235294,0.07112737920937051,739743.0,,
NTHI,2025-03-26,0.5625,33621008.0,False,281,-0.7092,0.1151972423011309,,,True,0.0,739336.0,12.11,-0.46407927332782817,0.2866564659948294,739743.0,-0.3996696944673823,0.11519724230113093
WFF,2025-03-26,3.9625,8000000.0,False,280,-0.9218639798488664,0.1144282993581151,,,True,209.0,739545.0,3.88,-0.5850515463917525,0.08981215272088083,739743.0,,
CRWV,2025-03-28,-0.025,1500000000.0,False,279,0.9864102564102564,0.1703919663103337,,,True,0.0,739338.0,40.0,2.221,0.3165964798617862,739743.0,0.93675,0.1703919663103337
NMAX,2025-03-31,0.4460000038146972,75000000.0,False,278,-0.61964038827867,0.1713473605177069,,,True,212.0,739553.0,9.890000343322754,-0.37815976927446604,0.06428664950028384,739743.0,,
ENGS,2025-04-01,0.1022222222222222,10125000.0,False,277,-0.752016129032258,0.1690999518690839,,,True,34.0,739376.0,3.09,-0.5954692556634305,0.2982555766534756,739743.0,-0.5954692556634305,0.3022484073042182
WXM,2025-04-01,0.05,5600000.0,False,276,-0.8833095238095239,0.1746260940870276,,,True,1.0,739343.0,2.86,-0.8338986013986014,0.2959328278891804,739743.0,-0.8269230769230769,0.1677531354070716
WTF,2025-04-01,0.0725,17500000.0,False,276,-0.1398601398601399,0.1690999518690839,,,True,234.0,739576.0,3.22,0.18633540372670798,0.11008603553707741,739743.0,,
SMA,2025-04-02,0.0197832089422183,810000000.0,False,276,-0.0199955680295367,0.1672394246439452,,,True,6.0,739349.0,29.40668296813965,0.12905489457450847,0.47353367708669025,739743.0,0.07395931564057667,0.3685546245568805
LHSW,2025-04-03,0.3249999999999999,8000000.0,False,275,-0.9650943396226416,0.2282839575181665,,,True,1.0,739345.0,2.92,-0.920513698630137,0.4478704876504118,739743.0,-0.9366438356164384,0.3378918619379354
BLIV,2025-04-04,0.0,9800000.0,False,237,,,,,True,0.0,739345.0,3.54,-0.3389830508474577,0.4523234642178595,739742.0,,
RYET,2025-04-08,0.825,15000000.0,False,272,-0.8520547945205479,0.3685546245568805,,,True,97.0,739446.0,1.9,-0.41057894736842104,0.17088394872041124,739743.0,,
IOTR,2025-04-10,8.0,8400000.0,False,270,-0.9227777777777778,0.3238400244004726,,,True,19.0,739370.0,3.876,-0.3808049535603715,0.3197791889161494,739743.0,-0.2956656346749226,0.2964713522874871
ATHR,2025-04-10,0.2209302325581394,7740000.0,False,269,-0.5276190476190477,0.3238400244004726,,,True,315.0,739666.0,4.07,0.007371007371007154,0.06881136044880787,739743.0,,
CUPR,2025-04-10,0.1,12000000.0,False,270,-0.9159090909090908,0.3238400244004726,,,True,127.0,739478.0,1.19,-0.7781512605042017,0.13698246922790003,739743.0,,
MB,2025-04-10,-0.05,8000000.0,False,255,1.3447368421052637,0.3797132944450798,,,True,1.0,739352.0,3.2,1.078125,0.3701539498820092,739743.0,1.578125,0.374367906506349
HXHX,2025-04-15,0.1875,7000000.0,False,267,-0.8674315789473684,0.3209203697847882,,,True,0.0,739356.0,3.11,-0.845016077170418,0.3608005803463479,739743.0,-0.797524115755627,0.3209203697847882
CHA,2025-04-17,0.129298938201952,411151748.0,False,265,-0.6647730468974835,0.3375125852472409,,,True,26.0,739384.0,25.633581161499023,-0.5712655324327114,0.2466430372844386,739743.0,,
TMDE,2025-04-21,0.0030769201425404,10075000.0,False,264,-0.6165644160562188,0.3840001556783685,,,True,3.0,739365.0,1.2999999523162842,-0.19230769936149672,0.3381989793118585,739743.0,-0.09230769936149663,0.3081819678428357
PFAI,2025-04-22,0.0,7200000.0,False,260,0.0249999999999999,0.3564153627311521,,,True,0.0,739363.0,3.35,0.19999999999999973,0.38753911806543395,739743.0,0.22388059701492513,0.35641536273115215
CIGL,2025-04-22,0.1000000238418579,5000000.0,False,263,-0.6272727386025355,0.343669985775249,,,True,83.0,739446.0,3.490000009536743,-0.6332378315495548,0.17088394872041124,739743.0,,
SSII,2025-04-25,6.75,21605428.0,False,260,-0.7219354838709677,0.2924778439633881,,,False,,,,,,,,
PHOE,2025-04-25,0.75,6400000.0,False,236,,,,,True,0.0,739366.0,3.65,4.221917808219178,0.3285994479151533,739743.0,,
YB,2025-04-30,0.443999989827474,30000000.0,False,257,-0.2437673464377402,0.2995455693006816,,,True,1.0,739372.0,15.0,0.0566666920979817,0.30997188747828885,739743.0,0.01933333079020172,0.2856733575662076
SDM,2025-05-01,0.3625,6000000.0,True,102,-0.6605504587155964,0.167725315830334,,,True,148.0,739520.0,1.85,0.0,0.0,739520.0,0.0,0.0
AHL,2025-05-08,0.1083333333333333,397500000.0,True,199,0.1278195488721805,0.2076416663717128,0.0181916915557969,0.0180215124345453,True,61.0,739440.0,29.94,0.2525050100200401,0.10002579230744413,739670.0,0.2525050100200401,0.10002579230744413
AII,2025-05-08,0.0952374074921784,110000000.0,False,251,,,,,True,7.0,739386.0,15.818779945373535,0.2434587334939673,0.23900010161568952,739743.0,,
APUS,2025-05-09,9.0,13500000.0,False,250,,,,,True,321.0,739701.0,1.6299999952316284,-0.11042941599661416,0.13407431521183089,739743.0,,
OMSE,2025-05-09,-0.1111111111111111,33333336.000000004,False,248,,,,,True,4.0,739384.0,7.51,-0.38748335552596536,0.2466430372844386,739743.0,,
ANTA,2025-05-13,0.1726562499999999,49280000.0,False,241,,,,,True,2.0,739386.0,11.84,-0.1807432432432433,0.23900010161568952,739743.0,,
ETOR,2025-05-14,0.3401923076923077,619996936.0,False,247,,,,,True,90.0,739475.0,50.74,-0.24635396137169885,0.13830929374970813,739743.0,,
ARAI,2025-05-15,2.076923076923077,389716756.0,False,246,,,,,True,1.0,739387.0,10.21,-0.9300391772771792,0.23120161561763708,739743.0,,
OFAL,2025-05-16,0.0,15000000.0,False,242,,,,,True,20.0,739407.0,2.77,-0.7414801444043322,0.23358907343394342,739743.0,,
HNGE,2025-05-22,0.234375,437312000.0,False,241,,,,,True,259.0,739652.0,31.790000915527344,0.7301037564027273,0.07963165195832467,739743.0,,
