tf,side,entry,filter,exit,stop,n_trades,trades_per_day,win_rate,avg_risk_pts,avg_bars_held,avg_r_gross,avg_r_net,total_r_net,pf_net,t_stat,max_dd_r,pos_years_pct,n_years,r_net_2008_2019,r_net_2020_2026
3m,short,break_stop,none,target2r_trail,atr_0.5,189679,40.73,9.3,1.48,0.3,-0.674,-1.0151,-192539.0,0.127,-490.59,192539.2,0.0,19,-142860.2,-49678.8
3m,short,break_stop,none,target2r_trail,atr_1.0,130978,28.12,20.7,2.91,1.5,-0.2284,-0.4037,-52870.6,0.33,-173.06,52875.3,0.0,19,-42286.0,-10584.7
3m,short,break_stop,none,target2r_trail,atr_1.5,118278,25.4,23.4,4.38,2.0,-0.1009,-0.2174,-25708.2,0.408,-123.08,25711.2,0.0,19,-21105.4,-4602.8
3m,short,break_stop,ribbon,cbc_trail,candle_low,57662,12.38,23.8,3.37,1.9,-0.1437,-0.2845,-16404.0,0.441,-73.75,16412.6,0.0,19,-12378.7,-4025.3
3m,short,break_stop,ribbon,cbc_trail,atr_0.5,84457,18.14,9.2,1.54,0.5,-0.6382,-0.9677,-81732.7,0.159,-235.87,81731.5,0.0,19,-62701.0,-19031.7
3m,short,break_stop,ribbon,cbc_trail,atr_1.0,59197,12.71,22.6,3.08,1.7,-0.2001,-0.3671,-21731.5,0.381,-92.49,21735.6,0.0,19,-17824.8,-3906.8
3m,short,break_stop,ribbon,cbc_trail,atr_1.5,54985,11.81,25.6,4.65,2.1,-0.0808,-0.1911,-10506.7,0.474,-66.22,10516.5,0.0,19,-8869.1,-1637.5
3m,short,break_stop,ribbon,cbc_after_1r,candle_low,34781,7.47,35.5,3.58,5.2,-0.1458,-0.2791,-9705.7,0.609,-40.34,9719.8,0.0,19,-7222.4,-2483.3
3m,short,break_stop,ribbon,cbc_after_1r,atr_0.5,80771,17.34,10.6,1.53,0.7,-0.631,-0.9632,-77800.4,0.182,-215.64,77800.8,0.0,19,-59866.3,-17934.1
3m,short,break_stop,ribbon,cbc_after_1r,atr_1.0,40970,8.8,32.2,3.07,3.8,-0.1988,-0.3669,-15032.2,0.528,-56.88,15044.7,0.0,19,-12396.8,-2635.4
3m,short,break_stop,ribbon,cbc_after_1r,atr_1.5,26019,5.59,40.1,4.68,8.3,-0.09,-0.2,-5205.1,0.694,-26.89,5240.5,5.0,19,-4487.4,-717.7
3m,short,break_stop,ribbon,close_against,candle_low,38591,8.29,26.4,3.44,4.0,-0.1391,-0.2771,-10695.4,0.574,-40.67,10707.8,0.0,19,-7898.0,-2797.4
3m,short,break_stop,ribbon,close_against,atr_0.5,73243,15.73,8.3,1.49,0.9,-0.6298,-0.9696,-71018.1,0.202,-171.89,71016.9,0.0,19,-55076.1,-15942.0
3m,short,break_stop,ribbon,close_against,atr_1.0,40603,8.72,24.6,3.09,3.6,-0.1874,-0.3545,-14395.4,0.515,-51.29,14400.7,0.0,19,-11744.9,-2650.6
3m,short,break_stop,ribbon,close_against,atr_1.5,34699,7.45,30.0,4.74,4.7,-0.0699,-0.1783,-6185.8,0.635,-31.68,6203.1,0.0,19,-5207.4,-978.4
3m,short,break_stop,ribbon,target2r_trail,candle_low,60717,13.04,23.9,3.48,1.6,-0.1392,-0.2771,-16826.0,0.45,-82.11,16834.4,0.0,19,-12458.6,-4367.4
3m,short,break_stop,ribbon,target2r_trail,atr_0.5,91163,19.58,10.3,1.58,0.3,-0.6494,-0.9708,-88500.8,0.147,-313.12,88501.0,0.0,19,-66373.2,-22127.6
3m,short,break_stop,ribbon,target2r_trail,atr_1.0,62907,13.51,22.6,3.1,1.5,-0.1979,-0.3631,-22840.9,0.391,-101.7,22843.3,0.0,19,-18480.7,-4360.2
3m,short,break_stop,ribbon,target2r_trail,atr_1.5,56361,12.1,25.7,4.66,2.0,-0.0787,-0.1886,-10630.1,0.484,-68.68,10640.0,0.0,19,-8928.9,-1701.2
10m,long,close_confirm,none,cbc_trail,candle_low,21291,4.57,27.8,4.98,1.7,-0.0555,-0.1672,-3559.1,0.61,-25.76,3559.8,0.0,19,-3005.3,-553.8
10m,long,close_confirm,none,cbc_trail,atr_0.5,22192,4.77,24.7,2.71,1.4,-0.0956,-0.2793,-6197.3,0.577,-30.71,6204.6,0.0,19,-5392.2,-805.1
10m,long,close_confirm,none,cbc_trail,atr_1.0,20948,4.5,29.0,5.41,1.8,-0.0472,-0.1394,-2919.9,0.619,-25.64,2922.2,0.0,19,-2565.7,-354.2
10m,long,close_confirm,none,cbc_trail,atr_1.5,20797,4.47,29.4,8.1,1.9,-0.0345,-0.0961,-1997.6,0.616,-25.56,1998.8,0.0,19,-1748.3,-249.3
10m,long,close_confirm,none,cbc_after_1r,candle_low,15271,3.28,40.8,5.28,4.9,-0.0323,-0.1374,-2098.7,0.779,-13.25,2101.6,0.0,19,-1741.5,-357.2
10m,long,close_confirm,none,cbc_after_1r,atr_0.5,20267,4.35,31.8,2.74,2.0,-0.0615,-0.2433,-4931.4,0.681,-22.11,4934.2,0.0,19,-4323.7,-607.7
10m,long,close_confirm,none,cbc_after_1r,atr_1.0,14450,3.1,43.6,5.62,5.5,0.0008,-0.0877,-1267.1,0.852,-8.61,1274.1,5.0,19,-1160.0,-107.2
10m,long,close_confirm,none,cbc_after_1r,atr_1.5,10931,2.35,46.7,8.61,9.5,0.0074,-0.05,-546.0,0.903,-4.86,581.2,11.0,19,-532.2,-13.8
10m,long,close_confirm,none,close_against,candle_low,16457,3.53,33.2,5.25,3.9,-0.0003,-0.1067,-1756.7,0.809,-9.67,1812.5,16.0,19,-1641.6,-115.1
10m,long,close_confirm,none,close_against,atr_0.5,18418,3.95,26.0,2.77,2.8,-0.004,-0.1839,-3387.7,0.77,-12.6,3541.1,16.0,19,-3321.6,-66.0
10m,long,close_confirm,none,close_against,atr_1.0,15863,3.41,35.6,5.58,4.2,0.0145,-0.0747,-1184.7,0.849,-7.71,1274.0,16.0,19,-1187.3,2.7
10m,long,close_confirm,none,close_against,atr_1.5,15307,3.29,37.7,8.37,4.6,0.0038,-0.0557,-851.9,0.842,-7.92,893.4,16.0,19,-831.6,-20.3
