tf,side,entry,exit,stop,htf,tod,n_trades,win_rate,avg_r_gross,avg_r_net,total_r_net,pf_net,t_stat,pos_years_pct,r_2008_2019,r_2020_2026
10m,short,two_consec,cbc_after_1r,atr_1.5,none,all,5284,44.0,-0.0093,-0.0646,-341.4,0.882,-4.07,32.0,-298.3,-43.2
10m,short,two_consec,cbc_after_1r,atr_1.5,none,0930-1100,1455,43.0,-0.0512,-0.1022,-148.7,0.826,-3.38,32.0,-115.1,-33.6
10m,short,two_consec,cbc_after_1r,atr_1.5,none,1100-1400,2458,44.7,-0.0022,-0.0564,-138.7,0.897,-2.44,16.0,-133.0,-5.7
10m,short,two_consec,cbc_after_1r,atr_1.5,none,1400-1530,1238,43.6,0.0205,-0.0412,-51.0,0.918,-1.22,32.0,-42.3,-8.8
10m,short,two_consec,close_against,candle_low,none,all,7459,27.9,-0.0314,-0.1509,-1125.8,0.772,-7.4,32.0,-1016.5,-109.3
10m,short,two_consec,close_against,candle_low,none,0930-1100,1516,29.3,-0.047,-0.1457,-220.9,0.764,-3.18,21.0,-199.4,-21.5
10m,short,two_consec,close_against,candle_low,none,1100-1400,3850,27.2,-0.051,-0.1792,-689.9,0.734,-6.49,16.0,-595.0,-94.9
10m,short,two_consec,close_against,candle_low,none,1400-1530,1884,27.8,0.0253,-0.0944,-177.9,0.86,-2.19,37.0,-188.2,10.3
10m,short,two_consec,close_against,atr_1.0,none,all,7064,32.1,-0.0131,-0.0965,-681.8,0.819,-6.17,21.0,-617.3,-64.5
10m,short,two_consec,close_against,atr_1.0,none,0930-1100,1504,31.6,-0.0659,-0.1421,-213.7,0.739,-4.49,16.0,-182.2,-31.6
10m,short,two_consec,close_against,atr_1.0,none,1100-1400,3583,32.4,-0.021,-0.1025,-367.3,0.796,-5.01,16.0,-307.0,-60.2
10m,short,two_consec,close_against,atr_1.0,none,1400-1530,1777,31.6,0.0503,-0.0417,-74.0,0.928,-1.13,53.0,-97.4,23.4
10m,short,two_consec,close_against,atr_1.5,none,all,6799,34.5,-0.0087,-0.0644,-438.1,0.83,-5.66,21.0,-396.6,-41.5
10m,short,two_consec,close_against,atr_1.5,none,0930-1100,1464,35.0,-0.0427,-0.0936,-137.1,0.762,-3.95,26.0,-120.8,-16.2
10m,short,two_consec,close_against,atr_1.5,none,1100-1400,3453,33.9,-0.0125,-0.0669,-231.1,0.808,-4.59,21.0,-195.8,-35.3
10m,short,two_consec,close_against,atr_1.5,none,1400-1530,1699,34.4,0.027,-0.0345,-58.6,0.918,-1.29,47.0,-63.6,5.0
10m,short,two_consec,be_after_1r,candle_low,none,all,7570,24.3,-0.0402,-0.1601,-1211.9,0.742,-8.3,16.0,-1082.1,-129.8
10m,short,two_consec,be_after_1r,candle_low,none,0930-1100,1519,26.7,-0.0524,-0.1511,-229.6,0.745,-3.36,16.0,-216.4,-13.2
10m,short,two_consec,be_after_1r,candle_low,none,1100-1400,3913,23.5,-0.0531,-0.1818,-711.3,0.711,-7.0,16.0,-619.6,-91.7
10m,short,two_consec,be_after_1r,candle_low,none,1400-1530,1924,23.2,-0.0045,-0.1243,-239.1,0.802,-3.12,42.0,-216.3,-22.9
10m,short,two_consec,be_after_1r,atr_1.0,none,all,7095,29.7,-0.0127,-0.0962,-682.6,0.815,-6.22,21.0,-621.4,-61.3
10m,short,two_consec,be_after_1r,atr_1.0,none,0930-1100,1506,29.3,-0.0659,-0.1421,-214.0,0.733,-4.54,11.0,-180.9,-33.1
10m,short,two_consec,be_after_1r,atr_1.0,none,1100-1400,3601,30.4,-0.0171,-0.0986,-355.0,0.799,-4.87,21.0,-301.4,-53.6
10m,short,two_consec,be_after_1r,atr_1.0,none,1400-1530,1787,28.0,0.0419,-0.05,-89.4,0.911,-1.39,53.0,-111.8,22.5
10m,short,two_consec,be_after_1r,atr_1.5,none,all,6803,33.9,-0.0084,-0.0642,-436.5,0.829,-5.65,26.0,-395.2,-41.3
10m,short,two_consec,be_after_1r,atr_1.5,none,0930-1100,1464,34.4,-0.0419,-0.0928,-135.9,0.763,-3.92,26.0,-120.1,-15.8
10m,short,two_consec,be_after_1r,atr_1.5,none,1100-1400,3455,33.5,-0.0116,-0.066,-228.1,0.809,-4.53,21.0,-193.3,-34.8
10m,short,two_consec,be_after_1r,atr_1.5,none,1400-1530,1701,33.3,0.026,-0.0354,-60.3,0.914,-1.33,47.0,-66.3,6.0
